machine	quiet_state	s	n	t
0RB---_1LC0LC_1RB1RD_1RB0RB	A	0	2	64
0RB---_1LC0LC_1RC0RD_1LB1LD	A	0	2	256
0RB---_1LC0LC_1RC1LB_------	A	0	2	1024
0RB---_1LC0LC_1RD0LB_0RC1LB	A	0	2	1024
0RB---_1LC0LC_1RD0LB_0RD1LB	A	0	2	1024
0RB---_1LC0LC_1RD0LB_1LC1RB	A	0	2	256
0RB---_1LC0LC_1RD0LB_1LC1RD	A	0	2	256
0RB---_1LC0LC_1RD0LB_1RD1LB	A	0	2	1024
0RB---_1LC0LC_1RD0RB_0RB1LB	A	0	2	64
0RB---_1LC0LC_1RD0RB_0RB1RB	A	0	2	64
0RB---_1LC0LC_1RD0RD_1LC1LB	A	0	2	64
0RB---_1LC0LC_1RD1LB_0LC1RB	A	0	2	256
0RB---_1LC0LC_1RD1LB_0RB0LB	A	0	2	64
0RB---_1LC0LC_1RD1LB_0RC1LB	A	0	2	1024
0RB---_1LC0LC_1RD1LB_0RD1LB	A	0	2	1024
0RB---_1LC0LC_1RD1LB_1LC1RB	A	0	2	256
0RB---_1LC0LC_1RD1LB_1RC1LB	A	0	2	1024
0RB---_1LC0LC_1RD1LB_1RD1LB	A	0	2	1024
0RB---_1LC0LC_1RD1LC_0LC1LB	A	0	2	64
0RB---_1LC0LC_1RD1LC_1LC0LB	A	0	2	64
0RB---_1LC0LC_1RD1LC_1LC1LB	A	0	2	64
0RB---_1LC0LC_1RD1LD_1RB0LB	A	0	2	1024
0RB---_1LC0LC_1RD1LD_1RB1LB	A	0	2	1024
0RB---_1LC0LC_1RD1RC_1LB0RD	A	0	2	1024
0RB---_1LC0LD_0LD0LB_1RC1LD	A	0	2	64
0RB---_1LC0LD_0LD1LB_1RC1LD	A	0	2	64
0RB---_1LC0LD_0LD1LD_1RB0LB	A	0	2	64
0RB---_1LC0LD_0LD1LD_1RB0LC	A	0	2	64
0RB---_1LC0LD_0LD1LD_1RB0LD	A	0	2	64
0RB---_1LC0LD_0LD1LD_1RB0RB	A	0	2	64
0RB---_1LC0LD_0LD1LD_1RB1LB	A	0	2	64
0RB---_1LC0LD_0LD1LD_1RB1LC	A	0	2	64
0RB---_1LC0LD_0LD1RD_1RB0RB	A	0	2	64
0RB---_1LC0LD_0RB1LD_1RB0LD	A	0	2	64
0RB---_1LC0LD_0RC1LD_1RB0LD	A	0	2	64
0RB---_1LC0LD_0RC1RB_0RB1RD	A	0	2	64
0RB---_1LC0LD_0RC1RD_1LB0RD	A	0	2	64
0RB---_1LC0LD_0RD0RB_1LB1RC	A	0	3	64
0RB---_1LC0LD_0RD1LD_1RB0LD	A	0	2	64
0RB---_1LC0LD_1LA1LD_1RB0LD	A	3	2	64
0RB---_1LC0LD_1LD0LB_1RB0LD	A	0	2	64
0RB---_1LC0LD_1LD0LB_1RC0LB	A	0	2	64
