machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
1RB0LD_1LC0RA_1RC1LA_0LC0LA,irules,199096,315,1,1,2,1,T,15
1RB0LD_1LC0RC_1LC1LA_1RD0RB,irules,199813,120,1,1,3,4,F,0
1RB0LD_1LC1LD_0RA1LB_1RC0LA,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_0RB0LC_0LB1RD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_0RB0LC_0RB1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_0RB0LC_1RC0RD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_0RB1LC_0RA1LA,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_1LA1LB_0RB1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_1LD0LD_0RB1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_1LD1LC_0RB1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RA_1RA1LC_0RD1LA,irules,186726,40,1,1,5,2,F,0
1RB0LD_1LC1RA_1RB1LB_0RA1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RB_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
1RB0LD_1LC1RC_1LA1RD_1RD0RB,irules,199993,1754,1,1,1,3,F,0
1RB0LD_1RC0LA_1LB0RB_1LC0LB,irules,199989,2701,1,1,1,3,F,0
1RB0LD_1RC0LC_1LA0RD_1RC1LB,irules,199208,119,1,1,6,1,T,1
1RB0LD_1RC1LB_0LA1RD_1LB0RB,irules,198670,257,1,1,2,1,T,8
1RB0LD_1RC1LB_1LA1RC_0RC1LD,irules,187517,118,1,3,2,1,F,0
1RB0LD_1RC1LB_1LA1RD_1LB0RB,irules,199696,258,1,1,2,1,T,4
1RB0LD_1RC1RA_0LD0RC_1LD1LB,irules,199812,446,1,1,1,0,T,6
1RB0LD_1RC1RA_1LA0RC_0RB1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1RC1RA_1LC0LD_0RA1LD,undecided,0,0,0,0,0,0,?,0
1RB0LD_1RC1RA_1LC0RA_1LA0LC,irules,199176,128,1,1,4,1,F,0
1RB0LD_1RC1RA_1LC1LD_0RB1LD,undecided,0,0,0,0,0,0,?,0
1RB0RA_0LC---_1LD0LD_1RA1LC,undecided,0,0,0,0,0,0,?,0
1RB0RA_0RC0LA_1LD0RC_0LD1LA,undecided,0,0,0,0,0,0,?,0
1RB0RA_1LC1RA_1LD0LC_0RA---,undecided,0,0,0,0,0,0,?,0
1RB0RA_1RC0LC_1LD1RC_1RA1LB,irules,198662,257,1,1,2,1,T,9
1RB0RB_0LC0RA_1LC0LD_1RA1LD,undecided,0,0,0,0,0,0,?,0
1RB0RB_0LC0RA_1LD1RC_1RA1LC,undecided,0,0,0,0,0,0,?,0
1RB0RB_0RC0LD_0RD0RA_1LD1RB,undecided,0,0,0,0,0,0,?,0
1RB0RB_0RC0LD_0RD0RB_1LD1RA,undecided,0,0,0,0,0,0,?,0
1RB0RB_0RC0RA_1LD1LC_0LD1RB,undecided,0,0,0,0,0,0,?,0
1RB0RB_0RC1RC_1LD0RC_0LD1LA,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LA1LC_1RD0LB_0LB1RC,irules,199397,315,1,1,10,1,T,3
1RB0RB_1LA1LC_1RD0LC_0RD0LA,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LA1RC_1LD0RB_0RB1LC,irules,199397,315,1,1,10,1,T,3
1RB0RB_1LA1RC_1LD0RB_1RD1LC,irules,198762,314,1,1,10,1,T,3
1RB0RB_1LB1RC_1LA1LD_0RC0LD,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LC0RB_0LD1RA_1LC1RB,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LC0RB_1LD1RB_0LC1RA,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LC1LD_1LA1RC_0RA0LD,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LC1RA_0LC0LD_0RA0RD,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LC1RC_1RA1LD_1LC0LC,irules,199959,14048,1,15,1,0,F,0
1RB0RB_1LC1RD_0RD0LC_1LA0LA,undecided,0,0,0,0,0,0,?,0
1RB0RB_1LC1RD_1RA0LB_1LC1RA,irules,199998,99,1,1,5,6,F,0
1RB0RB_1RC0LA_1LD0RC_0LD1LA,undecided,0,0,0,0,0,0,?,0
1RB0RB_1RC1LB_1LA1RD_1LB1RC,irules,199396,315,1,1,2,1,T,18
1RB0RC_0LA1RC_1LA1LD_0LD0RB,undecided,0,0,0,0,0,0,?,0
1RB0RC_0LA1RD_1RD1LC_1LC1RB,irules,199399,315,1,1,1,1,T,3
1RB0RC_0LB1LA_0LB1RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
1RB0RC_0LB1LA_0RD1RD_1LB0RC,undecided,0,0,0,0,0,0,?,0
1RB0RC_0LC0RA_0LD1RC_1LA1LD,irules,197334,82,1,2,2,2,F,0
1RB0RC_0LC1LA_0LB1RD_1LB0RD,undecided,0,0,0,0,0,0,?,0
