# spec	class	quietest_last_fire_in_1e8 (-1: EDGE/HALT)
0RB0LA_1RC1RB_1LD0RA_1LA1LC	SP	48457016
0RB0LA_1RC1RB_1LD0RC_1LB0LA	DN	99999978
0RB0LA_1RC1RB_1RD---_1LA0LB	DN	99999987
0RB0LA_1RC1RB_1RD---_1LA1LB	DN	99999990
0RB0LA_1RC1RB_1RD1LB_1LD1LA	DN	99999989
0RB0LA_1RC1RB_1RD1LD_1LD1LA	DN	99999982
0RB0LA_1RC1RB_1RD1RB_1LD1LA	DN	99999988
0RB0LA_1RC1RC_1LD1RD_1RB1LA	DN	99999990
0RB0LA_1RC1RD_0LB1RB_1LA---	DN	99999990
0RB0LA_1RC1RD_0LD---_1RB1LA	DN	99999991
0RB0LA_1RC1RD_1LA0LB_1RB---	DN	99999990
0RB0LA_1RC1RD_1LA0RD_1LD1RB	DN	99999978
0RB0LA_1RC1RD_1LA1LB_---1RB	DN	99999990
0RB0LA_1RC1RD_1LB1RB_---1LA	DN	99999990
0RB0LA_1RC1RD_1LC1LA_---1RB	DN	99999991
0RB0LA_1RC1RD_1LD---_1LA1RB	DN	99999989
0RB0LA_1RC1RD_1LD1RB_---1LA	DN	99999990
0RB0LA_1RC1RD_1LD1RD_1RB1LA	DN	99999986
0RB0LB_0LC1LB_0RD1LA_1LC1RD	SP	89543972
0RB0LB_0LC1RD_1RB1LC_0RB1RA	SP	83885915
0RB0LB_0RC0LA_1LB1RD_1LA1RC	QH	0
0RB0LB_0RC0LA_1LB1RD_1RC---	QH	0
0RB0LB_0RC0LA_1RD---_1LA1RC	QH	0
0RB0LB_0RC0LA_1RD1RC_1LA1LD	DN	99999944
0RB0LB_0RC0LB_1LD1RC_0LA1LA	DN	99999988
0RB0LB_0RC0LB_1RD---_1LA1RC	QH	0
0RB0LB_0RC0LD_1LB1RC_0LA1LA	DN	99999974
0RB0LB_0RC0LD_1LB1RC_0RC1LA	DN	99999972
0RB0LB_0RC0LD_1LD1RC_0LA1LA	DN	99999990
0RB0LB_0RC0LD_1LD1RC_0RC1LA	DN	99999939
0RB0LB_0RC1LA_1LB1RD_1LA1RC	QH	0
0RB0LB_0RC1LA_1LB1RD_1LC1RC	QH	0
0RB0LB_0RC1LA_1LB1RD_1RC0LA	QH	0
0RB0LB_0RC1LA_1LB1RD_1RC0LC	QH	0
0RB0LB_0RC1LA_1LB1RD_1RC1RC	QH	0
0RB0LB_0RC1LB_1LA1RC_------	DN	99807215
