machine,list,wave4_status,mxdys_status,mxdys_decider,match_kind
0RB0LC_0LC0LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0LC1LB_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0LC1LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0LC1LD_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0LC1RD_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0RC0LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0RC1LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0RC1LD_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_0RC1RB_1LD0LA_1LA---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LC_0RC1RD_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LA0LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LA1LC_0RD0LA_1RD1RB,listC,fuel,,,no-match
0RB0LC_1LA1LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LA1LC_1RD0LC_0RD1LA,listC,fuel,,,no-match
0RB0LC_1LA1LC_1RD0RD_0LA1RB,listC,drift,,,no-match
0RB0LC_1LA1RB_0RD0LA_1RD1LB,listC,fuel,,,no-match
0RB0LC_1LA1RB_0RD0LA_1RD1LC,listC,unboarded,,,no-match
0RB0LC_1LA1RB_0RD0LA_1RD1RB,listC,fuel,,,no-match
0RB0LC_1LA1RB_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LA1RC_1RB0LD_0RB0LC,listC,unboarded,,,no-match
0RB0LC_1LA1RC_1RB0LD_0RB1LD,listC,unboarded,,,no-match
0RB0LC_1LA1RC_1RB1RD_0LD0LA,listC,unboarded,,,no-match
0RB0LC_1LA1RC_1RD0LA_1LA1RC,listC,unboarded,,,no-match
0RB0LC_1LC---_0RD0LA_1RB1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LC_1LC0LA_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LC0LA_1RD0LC_0RD1LA,listC,fuel,,,no-match
0RB0LC_1LC0LA_1RD1RB_0RD1LA,listC,fuel,,,no-match
0RB0LC_1LC0LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LC0RA_1RD1LB_0LC0RD,listC,unboarded,,,no-match
0RB0LC_1LC0RC_1RD1LB_1LA0RD,listC,drift,,,no-match
0RB0LC_1LC1LA_0RD0LA_1RD1RB,listC,fuel,,,no-match
0RB0LC_1LC1LB_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LC1LC_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LC1LC_1RD0LC_0RD1LA,listC,fuel,,,no-match
0RB0LC_1LC1LD_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LC1RA_0LD---_0RA1LD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LC_1LC1RA_1RD1LB_0LC0RD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_0RA---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
