machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LC_1LC1RB_1RD1LA_1LB1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC0LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC0LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC1RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LD0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB0LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB0LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB0LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB1LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RC0LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RC0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RC1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RC1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RC1LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC0LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1LB_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1LB_1LA1RD_0LB0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1LC_0LD0LC_1RD1LA,irules,199717,631,1,2,1,0,T,6
0RB0LC_1RC1LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1LD_0LD0LC_1RD1LA,irules,199086,630,1,2,1,0,T,6
0RB0LC_1RC1LD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1RB_0LD0LC_1RD1LA,irules,199087,630,1,2,1,0,T,7
0RB0LC_1RC1RD_0LC1LA_1LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1RD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1RD_1LB0LA_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1RD_1LB1LA_1LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1RC1RD_1LB1LA_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB0LD_0LC0LD_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0LC1LC_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0LC1LD_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0LC1RB_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0LC1RC_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0RC0LB_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0RC0LD_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0RC1LB_1LA1RD_1RC0LB,undecided,0,0,0,0,0,0,?,0
0RB0LD_0RC1LB_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0RC1LC_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LD_0RC1LD_1LD1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
